<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.12.05	13117.19	13262.29	13097.79	13207.39	9413	0	0
2012.12.06	13200.29	13251.59	13180.99	13245.69	8298	0	0
2012.12.07	13249.59	13331.39	13216.49	13327.39	9594	0	0
2012.12.10	13340.29	13370.69	13282.19	13343.79	6628	0	0
2012.12.11	13336.79	13479.39	13329.79	13422.89	6881	0	0
2012.12.12	13446.89	13503.79	13401.69	13417.69	6900	0	0
2012.12.13	13413.59	13444.39	13320.79	13346.39	6153	0	0
2012.12.14	13333.39	13390.39	13292.89	13310.89	3892	0	0
2012.12.17	13357.79	13417.09	13316.69	13413.09	5605	0	0
2012.12.18	13438.99	13539.89	13405.29	13522.39	9382	0	0
2012.12.19	13513.59	13551.49	13428.09	13432.09	11289	0	0
2012.12.20	13420.99	13487.19	13391.99	13482.59	6807	0	0
2012.12.21	13463.99	13464.99	13197.49	13373.39	9468	0	0
2012.12.24	13325.19	13355.79	13300.39	13303.89	2209	0	0
2012.12.26	13339.99	13348.89	13251.29	13287.19	3275	0	0
2012.12.27	13284.09	13316.59	13136.79	13268.99	8372	0	0
2012.12.28	13271.39	13272.39	13100.29	13108.69	5876	0	0
2013.01.02	13431.89	13585.29	13411.89	13585.29	8328	0	0
2013.01.03	13552.49	13604.69	13531.19	13566.69	7234	0	0
2013.01.04	13567.99	13621.19	13540.39	13608.09	6951	0	0
2013.01.07	13594.89	13601.89	13517.59	13555.79	9740	0	0
2013.01.08	13559.59	13563.09	13466.99	13502.89	11505	0	0
2013.01.09	13514.79	13591.29	13506.59	13563.39	9930	0	0
2013.01.10	13556.79	13651.19	13550.29	13645.99	9837	0	0
2013.01.11	13656.29	13671.39	13615.39	13662.69	9147	0	0
2013.01.14	13671.49	13695.39	13634.49	13682.59	9325	0	0
2013.01.15	13670.49	13719.89	13616.89	13704.79	11410	0	0
2013.01.16	13711.09	13711.09	13626.59	13677.49	10464	0	0
2013.01.17	13669.39	13808.49	13626.19	13772.79	11420	0	0
2013.01.18	13771.59	13819.89	13746.99	13813.89	10878	0	0
2013.01.21	13813.79	13842.19	13802.39	13834.19	2376	0	0
2013.01.22	13826.29	13880.29	13760.99	13877.29	9316	0	0
2013.01.23	13938.59	13969.09	13908.69	13952.19	7208	0	0
2013.01.24	13940.49	14054.09	13936.89	14002.89	11590	0	0
2013.01.25	13993.69	14069.19	13980.49	14068.69	11417	0	0
2013.01.28	14065.49	14091.79	14036.19	14059.19	9281	0	0
2013.01.29	14054.89	14143.79	14033.39	14127.99	8970	0	0
2013.01.30	14141.79	14153.29	14072.39	14082.09	10213	0	0
2013.01.31	14069.89	14115.89	14036.69	14043.59	9638	0	0
2013.02.01	14070.29	14193.89	14059.19	14178.19	10915	0	0
2013.02.04	14169.49	14180.89	14039.99	14056.29	9076	0	0
2013.02.05	14087.99	14188.39	14076.59	14150.19	8831	0	0
2013.02.06	14159.99	14185.49	14081.19	14158.39	9442	0	0
2013.02.07	14155.19	14182.09	14025.49	14116.69	10111	0	0
2013.02.08	14113.39	14195.89	14104.79	14161.19	7630	0	0
2013.02.11	14158.89	14184.39	14114.09	14144.49	6613	0	0
2013.02.12	14142.79	14214.29	14110.99	14191.39	7456	0	0
2013.02.13	14203.19	14226.29	14119.09	14157.39	7024	0	0
2013.02.14	14147.69	14167.09	14082.79	14150.59	7133	0	0
2013.02.15	14148.49	14175.59	14080.69	14151.99	8377	0	0
2013.02.18	14152.69	14161.19	14140.89	14149.89	2475	0	0
2013.02.19	14145.89	14222.09	14132.09	14204.29	8803	0	0
2013.02.20	14207.09	14233.59	14092.99	14099.59	10970	0	0
2013.02.21	14105.89	14108.89	14009.79	14050.59	14943	0	0
2013.02.22	14081.59	14175.19	14077.59	14174.19	9615	0	0
2013.02.25	14172.09	14257.29	13960.09	13962.09	17379	0	0
2013.02.26	14003.89	14094.29	13963.59	14076.79	21578	0	0
2013.02.27	14058.59	14279.39	14040.19	14249.39	15788	0	0
2013.02.28	14255.29	14323.69	14220.69	14228.99	12219	0	0
2013.03.01	14204.49	14282.79	14109.29	14265.39	18107	0	0
2013.03.04	14243.19	14301.39	14191.89	14301.39	12753	0	0
2013.03.05	14315.09	14460.69	14304.79	14424.49	12385	0	0
2013.03.06	14433.19	14496.89	14425.09	14468.49	10044	0	0
2013.03.07	14454.29	14528.19	14448.39	14503.19	9666	0	0
2013.03.08	14498.99	14597.99	14494.99	14564.99	9410	0	0
2013.03.11	14547.09	14622.49	14535.69	14618.59	5942	0	0
2013.03.12	14623.19	14655.09	14586.69	14625.29	7907	0	0
2013.03.13	14630.49	14647.39	14587.99	14628.19	8029	0	0
2013.03.14	14633.69	14710.59	14629.09	14708.99	5443	0	0
2013.03.15	14694.89	14722.19	14640.49	14684.09	7392	0	0
2013.03.18	14561.59	14694.69	14516.89	14625.79	13014	0	0
2013.03.19	14640.19	14688.29	14554.89	14632.59	14414	0	0
2013.03.20	14607.59	14720.79	14593.49	14684.89	11110	0	0
2013.03.21	14663.39	14678.59	14556.79	14600.29	12582	0	0
2013.03.22	14598.19	14693.99	14571.99	14685.79	10763	0	0
2013.03.25	14733.69	14762.39	14568.59	14625.99	13715	0	0
2013.03.26	14639.89	14735.79	14638.89	14733.09	10287	0	0
2013.03.27	14727.49	14743.29	14613.99	14699.69	10804	0	0
2013.03.28	14686.59	14759.69	14645.49	14746.69	10567	0	0
2013.04.01	14750.99	14780.99	14704.09	14744.19	6900	0	0
2013.04.02	14753.59	14858.79	14738.09	14831.19	10371	0	0
2013.04.03	14836.99	14854.69	14699.79	14726.49	11868	0	0
2013.04.04	14734.79	14800.99	14711.99	14779.79	14688	0	0
2013.04.05	14772.09	14775.09	14607.09	14737.69	14130	0	0
2013.04.08	14744.09	14788.09	14672.39	14785.09	9723	0	0
2013.04.09	14805.99	14891.39	14772.69	14846.39	8922	0	0
2013.04.10	14844.29	15002.09	14833.29	14972.99	8266	0	0
2013.04.11	14970.89	15061.59	14960.69	15037.09	9942	0	0
2013.04.12	15040.99	15042.39	14965.09	15040.99	11524	0	0
2013.04.15	15014.79	15034.69	14770.59	14771.09	16882	0	0
2013.04.16	14784.49	14936.29	14772.49	14930.29	14265	0	0
2013.04.17	14908.19	14928.39	14734.19	14785.89	19593	0	0
2013.04.18	14804.79	14853.39	14670.39	14714.89	19663	0	0
2013.04.19	14684.79	14741.39	14642.99	14714.59	14964	0	0
2013.04.22	14733.49	14785.39	14630.19	14740.29	13908	0	0
2013.04.23	14733.09	14895.39	14679.69	14889.09	16134	0	0
2013.04.24	14875.89	14928.59	14841.39	14850.29	12656	0	0
2013.04.25	14842.59	14943.59	14826.99	14880.29	12648	0	0
2013.04.26	14875.59	14918.29	14830.99	14892.69	12507	0	0
2013.04.29	14876.39	15018.59	14866.39	14982.49	8913	0	0
2013.04.30	14973.79	15014.39	14906.69	15010.79	10939	0	0
2013.05.01	15011.09	15026.69	14861.69	14878.09	7593	0	0
2013.05.02	14882.89	15010.99	14882.89	15001.79	11519	0	0
2013.05.03	14993.09	15184.99	14977.09	15142.09	10923	0	0
2013.05.06	15144.89	15163.19	15117.39	15143.89	6383	0	0
2013.05.07	15121.69	15230.99	15111.59	15224.09	9732	0	0
2013.05.08	15210.39	15280.49	15195.19	15279.49	7912	0	0
2013.05.09	15277.39	15318.89	15221.19	15261.29	10440	0	0
2013.05.10	15273.59	15322.29	15212.49	15284.59	9929	0	0
2013.05.13	15237.39	15279.49	15225.99	15262.59	9477	0	0
2013.05.14	15278.49	15393.59	15224.09	15387.89	9695	0	0
2013.05.15	15383.69	15476.19	15353.19	15447.19	10329	0	0
2013.05.16	15439.09	15475.49	15389.49	15406.39	11348	0	0
2013.05.17	15419.79	15532.09	15418.09	15523.39	9088	0	0
2013.05.20	15510.79	15565.79	15487.99	15511.09	7868	0	0
2013.05.21	15511.99	15611.99	15496.69	15560.39	8535	0	0
2013.05.22	15559.69	15717.09	15438.19	15481.99	15311	0	0
2013.05.23	15525.39	15535.89	15337.69	15472.49	24588	0	0
2013.05.24	15506.89	15522.39	15372.79	15477.39	17395	0	0
2013.05.27	15517.29	15532.79	15467.89	15517.79	4282	0	0
2013.05.28	15522.29	15696.99	15519.29	15583.29	14680	0	0
2013.05.29	15570.19	15580.59	15402.59	15484.39	16909	0	0
2013.05.30	15475.79	15574.59	15429.09	15499.99	13346	0	0
2013.05.31	15504.89	15566.99	15296.09	15296.09	13420	0	0
2013.06.03	15311.99	15428.79	15291.29	15424.29	23630	0	0
2013.06.04	15390.29	15480.99	15273.69	15353.09	19681	0	0
2013.06.05	15355.59	15372.99	15119.09	15132.99	24465	0	0
2013.06.06	15159.39	15212.49	15018.19	15210.99	25103	0	0
